,RMSE,RMSE,RMSE,RMSE,Normalized_RMSE_%,Normalized_RMSE_%,Normalized_RMSE_%,Normalized_RMSE_%
,Claude,GPT5,Grok,DeepSeek,Claude,GPT5,Grok,DeepSeek
0.11800000000000001,0.00016479951133438172,6.083556157581305e-07,6.083556157581305e-07,0.0001988729252557569,0.05018653619807998,0.00018526305620895973,0.00018526305620895973,0.06056294209462161
0.11900000000000001,0.00016543314041113035,6.184935012685088e-07,6.184935012685088e-07,0.0002038908383535407,0.05038549423261598,0.0001883727810741496,0.0001883727810741496,0.062098444328717965
0.12,0.00016604039619744633,6.287111092884981e-07,6.287111092884981e-07,0.00020898313731582997,0.05057651683970132,0.00019150772182225176,0.00019150772182225176,0.06365703410571749
0.121,0.0001666219306920421,6.390083335993449e-07,6.390083335993449e-07,0.00021415005474284733,0.050759800352718834,0.00019466786456325374,0.00019466786456325374,0.06523879527216343
0.122,0.0001671784220673216,6.493850678059965e-07,6.493850678059965e-07,0.00021939180961450973,0.05093554912772455,0.00019785319549626613,0.00019785319549626613,0.06684380770348591
0.123,0.00016771057324200107,6.598412052700447e-07,6.598412052700447e-07,0.00022470860710354274,0.051103975115414715,0.00020106370088895936,0.00020106370088895936,0.06847214724541319
0.124,0.0001682191103938501,6.703766392717895e-07,6.703766392717895e-07,0.0002301006384435067,0.05126529741464533,0.00020429936712681082,0.00020429936712681082,0.0701238856720134
0.125,0.00016870478141433663,6.809912627728177e-07,6.809912627728177e-07,0.0002355680808522115,0.05141974180802283,0.00020756018064063003,0.00020756018064063003,0.07179909066052591
0.126,0.00016916835430714464,6.916849686321794e-07,6.916849686321794e-07,0.00024111109751045136,0.05156754028014075,0.0002108461279723012,0.0002108461279723012,0.07349782578297524
0.127,0.00016961061553317125,7.02457649416609e-07,7.02457649416609e-07,0.0002467298375957979,0.051708930519231804,0.0002141571957168121,0.0002141571957168121,0.07522015051450193
0.128,0.00017003236830425951,7.133091975593211e-07,7.133091975593211e-07,0.0002524244363704438,0.05184415540289831,0.000217493370570524,0.000217493370570524,0.07696612025811832
0.129,0.0001704344308291998,7.242395053041363e-07,7.242395053041363e-07,0.00025819501532224767,0.05197346246897347,0.00022085463931401545,0.00022085463931401545,0.07873578638564503
0.13,0.0001708176345148185,7.352484646504575e-07,7.352484646504575e-07,0.000264041682357217,0.05209710337234873,0.00022424098879517414,0.00022424098879517414,0.08052919629430579
0.131,0.00017118282212618573,7.46335967386328e-07,7.46335967386328e-07,0.00026996453204173525,0.05221533332897285,0.0002276524059391429,0.0002276524059391429,0.08234639347847904
0.132,0.0001715308459098973,7.575019051623411e-07,7.575019051623411e-07,0.00027596364589227223,0.05232841054820626,0.00023108887777073704,0.00023108887777073704,0.08418741761593217
0.133,0.00017186256568461292,7.687461693806075e-07,7.687461693806075e-07,0.0002820390927104276,0.052436595654783806,0.0002345503913804535,0.0002345503913804535,0.08605230466789703
0.134,0.00017217884690387406,7.800686512199034e-07,7.800686512199034e-07,0.0002881909289604048,0.05254015110189716,0.00023803693393200826,0.00023803693393200826,0.08794108699211581
0.135,0.0001724805586961852,7.914692416932504e-07,7.914692416932504e-07,0.00029441919918616466,0.05263934057689744,0.00024154849267977942,0.00024154849267977942,0.08985379346803275
0.136,0.00017276857188767346,8.029478316105148e-07,8.029478316105148e-07,0.0003007239364652951,0.052734428401220654,0.0002450850549572733,0.0002450850549572733,0.09179044963324022
0.137,0.0001730437570133998,8.145043115716349e-07,8.145043115716349e-07,0.00030710516289626197,0.052825678926372244,0.0002486466081749325,0.0002486466081749325,0.09375107783017526
0.138,0.00017330698232311418,8.261385719709153e-07,8.261385719709153e-07,0.00031356289011590457,0.05291335592772247,0.0002522331398213218,0.0002522331398213218,0.09573569736212144
0.139,0.00017355911178813598,8.378505029812723e-07,8.378505029812723e-07,0.00032009711984361147,0.0529977219981383,0.000255844637458194,0.000255844637458194,0.09774432465743997
0.14,0.00017380100311602202,8.496399946035474e-07,8.496399946035474e-07,0.0003267078444488229,0.05307903794347328,0.0002594810887354235,0.0002594810887354235,0.09977697344101698
0.14100000000000001,0.00017403350577977484,8.615069366581519e-07,8.615069366581519e-07,0.0003333950475383541,0.05315756218196737,0.00026314248138833984,0.00026314248138833984,0.10183365491186715
0.14200000000000002,0.00017425745906923714,8.73451218690163e-07,8.73451218690163e-07,0.00034015870455997576,0.05323355014988342,0.0002668288032086197,0.0002668288032086197,0.10391437792581443
0.14300000000000002,0.0001744736901715864,8.854727301134113e-07,8.854727301134113e-07,0.0003469987834188207,0.0533072537154864,0.00027054004208817403,0.00027054004208817403,0.10601914918221048
0.14400000000000002,0.00017468301228886363,8.975713601268151e-07,8.975713601268151e-07,0.0003539152451031895,0.05337892060378602,0.0002742761859934787,0.0002742761859934787,0.1081479734136517
0.145,0.0001748862228000661,9.097469977154253e-07,9.097469977154253e-07,0.0003609080443163157,0.053448793834342374,0.0002780372229657723,0.0002780372229657723,0.11030085357765053
0.146,0.00017508410147549963,9.219995317071039e-07,9.219995317071039e-07,0.00036797713011084654,0.053517111174488353,0.00028182314113826064,0.00028182314113826064,0.11247779104927519
0.147,0.00017527740875111655,9.343288506970551e-07,9.343288506970551e-07,0.0003751224465229517,0.05358410461033498,0.0002856339287129388,0.0002856339287129388,0.11467878581381974
0.148,0.00017546688407075946,9.467348431172817e-07,9.467348431172817e-07,0.0003823439332027591,0.05364999983798804,0.000289469573981704,0.000289469573981704,0.11690383665849835
0.149,0.00017565324430359133,9.59217397174248e-07,9.59217397174248e-07,0.0003896415260385091,0.05371501577721283,0.0002933300653071872,0.0002933300653071872,0.1191529413623696
0.15,0.0001758371822442628,9.71776400919649e-07,9.71776400919649e-07,0.00039701515777140387,0.05377936410986928,0.0002972153911442772,0.0002972153911442772,0.12142609688356842
0.151,0.0001760193652031101,9.844117422248469e-07,9.844117422248469e-07,0.0004044647585987578,0.05384324884536451,0.00030112554003219823,0.00030112554003219823,0.12372329954311419
