X,Y,Z,U1,U2,U3,E11,E22,E33,E12,E13,E23,S11,S22,S33,S12,S13,S23
0,0.16,0.96,-0.135236328,-0.137948482,0.095373313,0,-0.01306003,0.115220092,0.010432677,-0.005696679,-0.007830786,437828.8363,409843.0581,684729.0328,22355.73638,-12207.16912,-16780.25471
0,0.16,1,-0.135499624,-0.138343781,0.1,0,-0.014480272,0,0.010451612,0,0,-62058.30906,-93087.46359,-62058.30906,22396.3115,0,0
0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.2,0.04,-0.010171938,-0.010778871,0.003145193,0,-0.002210287,0.079552455,0.001276714,-0.125438195,-0.133191717,331466.4336,326730.1034,501935.9806,2735.816395,-268796.1312,-285410.8219
0,0.2,0.08,-0.020070111,-0.021127321,0.006364196,0,-0.003806965,0.081251198,0.002467496,-0.121673728,-0.12902148,331903.8559,323746.0744,506013.5653,5287.491951,-260729.4171,-276474.6007
0,0.2,0.12,-0.029639735,-0.031059468,0.009645289,0,-0.004980906,0.082716635,0.003567222,-0.117413069,-0.124948882,333153.1282,322479.7592,510403.0613,7644.047313,-251599.4346,-267747.6046
0,0.2,0.16,-0.038856202,-0.040582936,0.012981527,0,-0.005885054,0.084063348,0.004580333,-0.112903293,-0.120905419,335049.8338,322439.0045,515185.5799,9814.999408,-241935.6269,-259083.0408
0,0.2,0.2,-0.047704262,-0.049701252,0.016370356,0,-0.006635026,0.085389022,0.005513018,-0.108227987,-0.116849082,337517.1272,323299.2149,520493.6031,11813.60975,-231917.1153,-250390.8906
0,0.2,0.24,-0.05617268,-0.058415011,0.019812649,0,-0.007315462,0.086768026,0.006371361,-0.103422599,-0.112747909,340510.9881,324834.9983,526442.4718,13652.91656,-221619.8542,-241602.6616
0,0.2,0.28,-0.064251877,-0.066722401,0.023311799,0,-0.007987701,0.088254308,0.007160672,-0.098499745,-0.108571615,343999.7451,326883.2425,533116.1202,15344.29742,-211070.8823,-232653.461
0,0.2,0.32,-0.071932639,-0.074619413,0.026872994,0,-0.008696251,0.089885748,0.007885238,-0.093459528,-0.10428786,347954.9883,329320.1643,540567.3063,16896.93956,-200270.4177,-223473.9848
