Element	Node1	Node2	Type	Length	Sample Points (every 200mm)

0	0	12	Column	3000.0
Dist(mm)	ux	uy	uz	θx	θy	θz
9	1	13	Column	3000.0
Dist(mm)	ux	uy	uz	θx	θy	θz
0.0	-0.000000	-0.000000	-0.000000	1.010773e-19	-2.018476e-19	-8.651939e-21
200.0	0.000507	0.000384	-0.001915	3.281544e-07	-3.941957e-07	-1.366720e-08
400.0	0.001013	0.000769	-0.003830	6.563089e-07	-7.883913e-07	-2.733440e-08
600.0	0.001520	0.001153	-0.005745	9.844633e-07	-1.182587e-06	-4.100160e-08
800.0	0.002026	0.001538	-0.007660	1.312618e-06	-1.576783e-06	-5.466880e-08
1000.0	0.002533	0.001922	-0.009575	1.640772e-06	-1.970978e-06	-6.833600e-08
1200.0	0.003040	0.002307	-0.011489	1.968927e-06	-2.365174e-06	-8.200320e-08
1400.0	0.003546	0.002691	-0.013404	2.297081e-06	-2.759370e-06	-9.567041e-08
1600.0	0.004053	0.003076	-0.015319	2.625236e-06	-3.153565e-06	-1.093376e-07
1800.0	0.004559	0.003460	-0.017234	2.953390e-06	-3.547761e-06	-1.230048e-07
2000.0	0.005066	0.003844	-0.019149	3.281544e-06	-3.941957e-06	-1.366720e-07
2200.0	0.005573	0.004229	-0.021064	3.609699e-06	-4.336152e-06	-1.503392e-07
2400.0	0.006079	0.004613	-0.022979	3.937853e-06	-4.730348e-06	-1.640064e-07
2600.0	0.006586	0.004998	-0.024894	4.266008e-06	-5.124544e-06	-1.776736e-07
2800.0	0.007092	0.005382	-0.026809	4.594162e-06	-5.518739e-06	-1.913408e-07
3000.0	0.007599	0.005767	-0.028724	4.922317e-06	-5.912935e-06	-2.050080e-07

10	13	25	Column	3000.0
Dist(mm)	ux	uy	uz	θx	θy	θz
0.0	0.007599	0.005767	-0.028724	4.922317e-06	-5.912935e-06	-2.050080e-07
200.0	0.009122	0.006571	-0.030019	4.934706e-06	-6.346393e-06	-2.875444e-07
400.0	0.010645	0.007375	-0.031314	4.947096e-06	-6.779851e-06	-3.700808e-07
600.0	0.012169	0.008180	-0.032610	4.959486e-06	-7.213309e-06	-4.526171e-07
800.0	0.013692	0.008984	-0.033905	4.971875e-06	-7.646768e-06	-5.351535e-07
1000.0	0.015215	0.009788	-0.035200	4.984265e-06	-8.080226e-06	-6.176899e-07
1200.0	0.016739	0.010593	-0.036495	4.996655e-06	-8.513684e-06	-7.002263e-07
1400.0	0.018262	0.011397	-0.037791	5.009044e-06	-8.947142e-06	-7.827626e-07
1600.0	0.019785	0.012202	-0.039086	5.021434e-06	-9.380600e-06	-8.652990e-07
1800.0	0.021308	0.013006	-0.040381	5.033824e-06	-9.814058e-06	-9.478354e-07
2000.0	0.022832	0.013810	-0.041677	5.046213e-06	-1.024752e-05	-1.030372e-06
2200.0	0.024355	0.014615	-0.042972	5.058603e-06	-1.068097e-05	-1.112908e-06
2400.0	0.025878	0.015419	-0.044267	5.070993e-06	-1.111443e-05	-1.195444e-06
2600.0	0.027401	0.016223	-0.045562	5.083382e-06	-1.154789e-05	-1.277981e-06
2800.0	0.028925	0.017028	-0.046858	5.095772e-06	-1.198135e-05	-1.360517e-06
3000.0	0.030448	0.017832	-0.048153	5.108162e-06	-1.241481e-05	-1.443054e-06

11	25	37	Column	3000.0
Dist(mm)	ux	uy	uz	θx	θy	θz
0.0	0.030448	0.017832	-0.048153	5.108162e-06	-1.241481e-05	-1.443054e-06
200.0	0.032687	0.019221	-0.048802	5.523403e-06	-1.242508e-05	-1.851423e-06
400.0	0.034926	0.020610	-0.049451	5.938643e-06	-1.243536e-05	-2.259792e-06
600.0	0.037165	0.021999	-0.050100	6.353884e-06	-1.244564e-05	-2.668161e-06
800.0	0.039404	0.023388	-0.050750	6.769125e-06	-1.245592e-05	-3.076530e-06
1000.0	0.041643	0.024777	-0.051399	7.184365e-06	-1.246620e-05	-3.484899e-06
1200.0	0.043882	0.026166	-0.052048	7.599606e-06	-1.247647e-05	-3.893268e-06
1400.0	0.046121	0.027555	-0.052697	8.014847e-06	-1.248675e-05	-4.301637e-06
1600.0	0.048360	0.028944	-0.053346	8.430088e-06	-1.249703e-05	-4.710006e-06
1800.0	0.050599	0.030333	-0.053995	8.845328e-06	-1.250731e-05	-5.118375e-06
2000.0	0.052838	0.031722	-0.054645	9.260569e-06	-1.251758e-05	-5.526745e-06
2200.0	0.055076	0.033111	-0.055294	9.675810e-06	-1.252786e-05	-5.935114e-06
